rownum,utt_len,uID,langtype,corpus,file,name,role,age,sex,group,SES,Y,M,D,agemonth,who,Target,Repetition,w,mw_stem,pos_c,t_type
13986,5,u125,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,do you want some more,do you want some more,mod pro v qn pro,q
13987,1,u126,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,okay,okay,co,p
13988,1,u127,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,okay,okay,co,p
13989,3,u128,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby have some,baby have some,n v qn,p
13990,1,u129,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,yeah,yeah,co,p
13991,3,u130,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby have some,baby have some,n v qn,p
13992,2,u131,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,xxx again,again,adv,p
13993,3,u132,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what you want,what you want,pro pro v,q
13994,2,u133,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,dinner okay,dinner okay,n adj,p
13995,4,u134,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,Nomi can you say,Nomi can you say,n mod pro v,quotation next line
13996,4,u135,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what does baby want,what do baby want,pro v n v,q
13997,3,u136,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what's baby want,what;be baby want,pro;aux n v,q
13998,1,u137,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what's,what;be,pro;aux,q
13999,3,u138,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what's baby want,what;be baby want,pro;aux n v,q
14000,2,u139,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,xxx dancing,dance,part,p
14001,5,u140,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,okay what does she want,okay what do she want,co pro v pro v,q
14002,3,u141,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,uhs she want,uhs she want,chi pro v,q
14003,2,u142,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,you finished,you finish,pro v,p
14004,5,u143,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what do you want Nomi,what do you want Nomi,pro mod pro v n,q
14005,4,u144,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what do you want,what do you want,pro mod pro v,q
14006,1,u145,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,no,no,co,p
14007,5,u146,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what do you want honey,what do you;you want honey,pro mod pro;pro v n,p
14008,1,u147,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,go,go,v,p
14009,2,u148,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,I like,I like,pro co,p
